"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"¡Atención! <U+0001F534><U+26AA><U+0001F534>

Adquiere tus entradas para el duelo entre nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> y @Uruguay <U+0001F1FA><U+0001F1FE>. 

<U+231A> 10:00 p.m
<U+0001F4BB>… https://t.co/qGTllFs2y2",FALSE,700,NA,2021-09-02 00:23:58,TRUE,NA,"1433224144682954756",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",114,FALSE,FALSE,NA,NA
"Agradecemos al @MininterPeru y al ministro @JuanCarrascoMi por brindar la seguridad y garantías al público que asis… https://t.co/xbfKh3PgqZ",FALSE,122,NA,2021-09-01 23:58:06,TRUE,NA,"1433217635731263498",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",16,FALSE,FALSE,NA,NA
"¡Muy recomendable! <U+270D><U+FE0F><U+0001F3FB>

Si vas a alentar a nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> desde la tribuna, ten en cuenta estas indicaci… https://t.co/UmeAwOHpsP",FALSE,576,NA,2021-09-01 18:00:46,TRUE,NA,"1433127709434069004",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",94,FALSE,FALSE,NA,NA
"¡Que sea seguro volver a la cancha! <U+0001F64C><U+0001F3FB><U+0001F3DF><U+FE0F>

Respetemos los requisitos y protocolos de bioseguridad indispensables par… https://t.co/YPqgly8gCl",FALSE,578,NA,2021-09-01 17:21:13,TRUE,NA,"1433117756434563073",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",115,FALSE,FALSE,NA,NA
"¡De vuelta a casa! <U+0001F3DF>

Los hinchas regresan al Estadio Nacional para el duelo entre nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> y… https://t.co/tf6wXgPQes",FALSE,980,NA,2021-09-01 14:52:45,TRUE,NA,"1433080393838780418",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",164,FALSE,FALSE,NA,NA
"La @TuFPF agradece a @presidenciaperu y autoridades del @Minsa_Peru  por permitir que nuestra @SeleccionPeru <U+0001F1F5><U+0001F1EA> jue… https://t.co/mcDNMHpbHv",FALSE,1373,NA,2021-09-01 04:27:39,TRUE,NA,"1432923079764754432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",151,FALSE,FALSE,NA,NA
"Comunicado de la Comisión Electoral designada por la Asamblea de Bases de la @TuFPF  <U+25B6><U+FE0F>  https://t.co/84cpohRQA2 https://t.co/o4XZx43fQc",FALSE,121,NA,2021-08-29 02:18:27,FALSE,NA,"1431803400912572419",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",9,FALSE,FALSE,NA,NA
"Se instaló la Mesa de de Trabajo entre @Minsa_Peru  y @TuFPF para el retorno del público con aforo reducido y afina… https://t.co/adwNPUtE2w",FALSE,506,NA,2021-08-26 01:18:22,TRUE,NA,"1430701118401695766",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",89,FALSE,FALSE,NA,NA
"¡Por más alegrías! <U+26BD><U+FE0F><U+2728>

Celebramos 9<U+FE0F><U+20E3>9<U+FE0F><U+20E3> años trabajando por el desarrollo del fútbol peruano.

¡Siempre… https://t.co/I3MVGoDhp0",FALSE,127,NA,2021-08-24 00:59:33,TRUE,NA,"1429971606701551618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",24,FALSE,FALSE,NA,NA
"¡Muchas gracias @Club_USMP! <U+0001F91D> https://t.co/jyRrP8FayL",FALSE,46,NA,2021-08-23 21:15:53,FALSE,NA,"1429915321041829889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",4,FALSE,FALSE,NA,NA
"¡Muchas gracias @ligafemfpf! <U+0001F91D> https://t.co/da8YHjyk5O",FALSE,39,NA,2021-08-23 21:00:40,FALSE,NA,"1429911490006556677",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"¡Muchas gracias @LigaFutProf! <U+0001F91D> https://t.co/LzmOlsxCrm",FALSE,72,NA,2021-08-23 17:59:30,FALSE,NA,"1429865900103045125",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",3,FALSE,FALSE,NA,NA
"¡Muchas gracias @CCDMunicipal! <U+0001F91D> https://t.co/K6PWCk737c",FALSE,72,NA,2021-08-23 17:56:40,FALSE,NA,"1429865185737588741",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",4,FALSE,FALSE,NA,NA
"¡Muchas gracias @alianzasullana_! <U+0001F91D> https://t.co/cpq7Wgje9w",FALSE,42,NA,2021-08-23 17:55:33,FALSE,NA,"1429864904782139397",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"¡Muchas gracias @ClubSCristal! <U+0001F91D> https://t.co/mB8Avhtq9a",FALSE,52,NA,2021-08-23 17:53:33,FALSE,NA,"1429864399272042509",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"¡Muchas gracias @ClubALoficial! <U+0001F91D> https://t.co/woYbwaY677",FALSE,85,NA,2021-08-23 17:53:11,FALSE,NA,"1429864309476184073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",6,FALSE,FALSE,NA,NA
"¡Muchas gracias @Universitario! <U+0001F91D> https://t.co/2FUGmcG6ML",FALSE,176,NA,2021-08-23 17:52:46,FALSE,NA,"1429864202232029192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",6,FALSE,FALSE,NA,NA
"¡Muchas gracias @AUFOficial! <U+0001F91D> https://t.co/EfmDX7Dgwu",FALSE,66,NA,2021-08-23 17:49:45,FALSE,NA,"1429863443679653893",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"¡Muchas gracias @APFOficial! <U+0001F91D> https://t.co/ORBfgRujcI",FALSE,58,NA,2021-08-23 17:47:31,FALSE,NA,"1429862883672956928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"¡Muchas gracias @FCFSeleccionCol! <U+0001F91D> https://t.co/mACQefp5B3",FALSE,60,NA,2021-08-23 17:46:30,FALSE,NA,"1429862625719029763",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",1,FALSE,FALSE,NA,NA
"¡Muchas gracias @afa! <U+0001F91D> https://t.co/YvEJAuSmvY",FALSE,71,NA,2021-08-23 17:45:23,FALSE,NA,"1429862344260210695",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",3,FALSE,FALSE,NA,NA
"¡Muchas gracias @CONMEBOL! <U+0001F91D> https://t.co/RuxV1LbIrH",FALSE,341,NA,2021-08-23 17:44:35,FALSE,NA,"1429862143525011458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",17,FALSE,FALSE,NA,NA
"Un día como hoy, en 1927, se fundó la @FMF. 

¡Muchas felicidades y los mejores deseos! <U+0001F38A> https://t.co/8uRKD0N27e",FALSE,207,NA,2021-08-23 16:46:38,FALSE,NA,"1429847562648014851",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",8,FALSE,FALSE,NA,NA
